Date,JPM,BAC
2021-01-04,109.49156951904297,26.464048385620117
2021-01-05,110.08734130859375,26.666732788085938
2021-01-06,115.25659942626953,28.33230972290039
2021-01-07,119.04150390625,28.957998275756836
2021-01-08,119.1729507446289,28.66718292236328
2021-01-11,120.9515380859375,29.14305877685547
2021-01-12,122.85272979736328,29.66299057006836
2021-01-13,122.96666717529297,29.48674964904785
2021-01-14,123.68505859375,29.95381736755371
2021-01-15,121.46844482421875,29.090179443359375
2021-01-19,120.9427490234375,28.878679275512695
2021-01-20,119.129150390625,28.49974822998047
2021-01-21,118.13034057617188,27.997432708740234
2021-01-22,117.2191162109375,27.803552627563477
2021-01-25,115.75599670410156,27.45986557006836
2021-01-26,115.28289031982422,27.2659912109375
2021-01-27,112.02360534667969,26.28779411315918
2021-01-28,113.99494934082031,26.719606399536133
2021-01-29,112.73329162597656,26.129173278808594
2021-02-01,113.56563568115234,26.402359008789062
2021-02-02,117.06145477294922,27.34530258178711
2021-02-03,118.40192413330078,27.82999038696289
2021-02-04,121.12674713134766,28.640743255615234
2021-02-05,120.89014434814453,28.526174545288086
2021-02-08,122.78263854980469,29.160682678222656
2021-02-09,122.29200744628906,29.037311553955078
2021-02-10,122.36214447021484,29.063743591308594
2021-02-11,122.0204086303711,28.975622177124023
2021-02-12,123.75516510009766,29.40743064880371
2021-02-16,126.73403930664062,30.200563430786133
2021-02-17,127.12833404541016,30.323928833007812
2021-02-18,127.55762481689453,30.13005828857422
2021-02-19,129.6866455078125,30.438499450683594
2021-02-22,130.90447998046875,30.9760684967041
2021-02-23,131.9558868408203,31.30213165283203
2021-02-24,134.27764892578125,32.06001281738281
2021-02-25,132.45526123046875,31.663442611694336
2021-02-26,128.94189453125,30.58831024169922
2021-03-01,131.85948181152344,31.540067672729492
2021-03-02,131.43019104003906,31.31093978881836
2021-03-03,133.9710235595703,32.09524917602539
2021-03-04,131.91204833984375,32.32551574707031
2021-03-05,132.21871948242188,32.706336975097656
2021-03-08,133.9710235595703,32.88347244262695
2021-03-09,133.02471923828125,32.16611099243164
2021-03-10,135.916015625,33.09602355957031
2021-03-11,135.2063446044922,32.980892181396484
2021-03-12,136.80970764160156,33.600826263427734
2021-03-15,136.12628173828125,33.43256759643555
2021-03-16,134.4967041015625,33.33514404296875
2021-03-17,135.88095092773438,33.60969161987305
2021-03-18,138.12387084960938,34.48645782470703
2021-03-19,135.9248046875,34.12335205078125
2021-03-22,132.27125549316406,33.35286331176758
2021-03-23,130.94834899902344,32.679771423339844
2021-03-24,131.964599609375,32.679771423339844
2021-03-25,133.65557861328125,33.35286331176758
2021-03-26,135.88095092773438,34.25619888305664
2021-03-29,133.7694549560547,33.92850875854492
2021-03-30,135.3465118408203,34.53074264526367
2021-03-31,133.37518310546875,34.26504898071289
2021-04-01,134.67190551757812,34.973548889160156
2021-04-05,135.38575744628906,35.248104095458984
2021-04-06,134.43397521972656,35.15067672729492
2021-04-07,136.54025268554688,35.46951675415039
2021-04-08,136.7077178955078,35.159542083740234
2021-04-09,137.73004150390625,35.4163703918457
2021-04-12,137.43917846679688,35.478370666503906
2021-04-13,135.79998779296875,34.822994232177734
2021-04-14,133.26181030273438,35.318965911865234
2021-04-15,134.10784912109375,34.3093376159668
2021-04-16,135.10372924804688,34.67244338989258
2021-04-19,134.5308837890625,34.69015121459961
2021-04-20,131.5521240234375,33.724815368652344
2021-04-21,132.67137145996094,34.29161834716797
2021-04-22,129.87762451171875,33.97280502319336
2021-04-23,132.3628692626953,34.699012756347656
2021-04-26,132.68896484375,34.9026985168457
2021-04-27,133.29705810546875,35.318965911865234
2021-04-28,134.16073608398438,35.45179748535156
2021-04-29,136.76937866210938,36.408267974853516
2021-04-30,135.55319213867188,35.894615173339844
2021-05-03,135.15660095214844,35.921180725097656
2021-05-04,137.02499389648438,36.31085968017578
2021-05-05,138.8228302001953,36.65625762939453
2021-05-06,141.6165771484375,37.20534133911133
2021-05-07,142.10130310058594,37.355899810791016
2021-05-10,142.08364868164062,37.24078369140625
2021-05-11,139.7217559814453,36.815670013427734
2021-05-12,138.76112365722656,36.470279693603516
2021-05-13,142.33041381835938,37.05479049682617
2021-05-14,144.54249572753906,37.515316009521484
2021-05-17,145.12420654296875,37.85185623168945
2021-05-18,143.0795440673828,37.33819580078125
2021-05-19,141.98667907714844,37.169918060302734
2021-05-20,141.7399444580078,37.08135223388672
2021-05-21,143.35272216796875,37.55073928833008
2021-05-24,144.1282958984375,37.75443649291992
2021-05-25,142.63890075683594,37.20534133911133
2021-05-26,142.62127685546875,37.23191452026367
2021-05-27,144.84214782714844,37.68358612060547
2021-05-28,144.74520874023438,37.54188537597656
2021-06-01,146.3404083251953,38.01126480102539
