Date,JPM,BAC,Spread
2021-01-04,109.49156951904297,26.464048385620117,6.75964088140816
2021-01-05,110.08734130859375,26.666732788085938,5.9280656326273515
2021-01-06,115.25659942626953,28.33230972290039,-0.6320262938953078
2021-01-07,119.04150390625,28.957998275756836,-1.253354814444947
2021-01-08,119.1729507446289,28.66718292236328,0.9260761229454317
2021-01-11,120.9515380859375,29.14305877685547,-0.6465563793028934
2021-01-12,122.85272979736328,29.66299057006836,-2.406835881982971
2021-01-13,122.96666717529297,29.48674964904785,-1.0517721342337154
2021-01-14,123.68505859375,29.95381736755371,-3.622571776356949
2021-01-15,121.46844482421875,29.090179443359375,0.24273796816956406
2021-01-19,120.9427490234375,28.878679275512695,1.2064717165293928
2021-01-20,119.129150390625,28.49974822998047,2.0613867877426344
2021-01-21,118.13034057617188,27.997432708740234,4.5999906214420605
2021-01-22,117.2191162109375,27.803552627563477,5.05411137547901
2021-01-25,115.75599670410156,27.45986557006836,6.011309849012946
2021-01-26,115.28289031982422,27.2659912109375,6.903508288132315
2021-01-27,112.02360534667969,26.28779411315918,10.532897102571866
2021-01-28,113.99494934082031,26.719606399536133,9.463326351537319
2021-01-29,112.73329162597656,26.129173278808594,12.359625321818584
2021-02-01,113.56563568115234,26.402359008789062,11.26813686764362
2021-02-02,117.06145477294922,27.34530258178711,8.12354505530331
2021-02-03,118.40192413330078,27.82999038696289,6.050738925204882
2021-02-04,121.12674713134766,28.640743255615234,3.0660663142597855
2021-02-05,120.89014434814453,28.526174545288086,3.636280964373981
2021-02-08,122.78263854980469,29.160682678222656,1.060432790778151
2021-02-09,122.29200744628906,29.037311553955078,1.4386076076818881
2021-02-10,122.36214447021484,29.063743591308594,1.3226045548448724
2021-02-11,122.0204086303711,28.975622177124023,1.6014386158900038
2021-02-12,123.75516510009766,29.40743064880371,0.29530720435778335
2021-02-16,126.73403930664062,30.200563430786133,-2.311229768221466
2021-02-17,127.12833404541016,30.323928833007812,-2.7857006539966847
2021-02-18,127.55762481689453,30.13005828857422,-0.9911319230319862
2021-02-19,129.6866455078125,30.438499450683594,-1.0342200568698274
2021-02-22,130.90447998046875,30.9760684967041,-3.6020621158129984
2021-02-23,131.9558868408203,31.30213165283203,-4.846861942045194
2021-02-24,134.27764892578125,32.06001281738281,-7.8622615847178
2021-02-25,132.45526123046875,31.663442611694336,-6.891916826552773
2021-02-26,128.94189453125,30.58831024169922,-2.8339707584473217
2021-03-01,131.85948181152344,31.540067672729492,-6.618863461162334
2021-03-02,131.43019104003906,31.31093978881836,-5.434586525803098
2021-03-03,133.9710235595703,32.09524917602539,-8.417028946751799
2021-03-04,131.91204833984375,32.32551574707031,-12.097590752368518
2021-03-05,132.21871948242188,32.706336975097656,-14.472744384394304
2021-03-08,133.9710235595703,32.88347244262695,-13.967866265462163
2021-03-09,133.02471923828125,32.16611099243164,-9.862357379160187
2021-03-10,135.916015625,33.09602355957031,-13.519704758142808
2021-03-11,135.2063446044922,32.980892181396484,-13.418595917663737
2021-03-12,136.80970764160156,33.600826263427734,-16.180941663189145
2021-03-15,136.12628173828125,33.43256759643555,-15.679453941765104
