Date,JPM,BAC,Spread,Z_Score
2021-01-04,109.49156951904295,26.46404838562012,6.75964088140816,0.12538879146138399
2021-01-05,110.08734130859376,26.666732788085938,5.928065632627352,0.10050692552057333
2021-01-06,115.25659942626952,28.33230972290039,-0.6320262938953078,-0.09577997469013251
2021-01-07,119.04150390625,28.95799827575684,-1.253354814444947,-0.11437097168791996
2021-01-08,119.1729507446289,28.66718292236328,0.9260761229454316,-0.04915942469814583
2021-01-11,120.9515380859375,29.14305877685547,-0.6465563793028934,-0.09621473466855915
2021-01-12,122.85272979736328,29.66299057006836,-2.406835881982971,-0.14888469889399444
2021-01-13,122.96666717529295,29.48674964904785,-1.0517721342337154,-0.10833934288179702
2021-01-14,123.68505859375,29.95381736755371,-3.622571776356949,-0.185261175451702
2021-01-15,121.46844482421876,29.09017944335937,0.242737968169564,-0.06960583455017327
2021-01-19,120.9427490234375,28.87867927551269,1.2064717165293928,-0.04076960600142662
2021-01-20,119.129150390625,28.49974822998047,2.0613867877426344,-0.015189380731502214
2021-01-21,118.13034057617188,27.997432708740234,4.5999906214420605,0.060769109326427206
2021-01-22,117.2191162109375,27.80355262756348,5.05411137547901,0.0743570218327861
2021-01-25,115.75599670410156,27.45986557006836,6.011309849012946,0.10299770604283023
2021-01-26,115.28289031982422,27.2659912109375,6.903508288132315,0.1296935005452712
2021-01-27,112.02360534667967,26.28779411315918,10.532897102571866,0.23828976535758067
2021-01-28,113.99494934082033,26.719606399536133,9.46332635153732,0.20628674929803395
2021-01-29,112.73329162597656,26.129173278808597,12.359625321818584,0.29294796583700994
2021-02-01,113.56563568115234,26.402359008789062,11.26813686764362,0.2602891421977283
2021-02-02,117.06145477294922,27.34530258178711,8.12354505530331,0.1661986650846386
2021-02-03,118.40192413330078,27.82999038696289,6.050738925204882,0.10417747779459431
2021-02-04,121.12674713134766,28.640743255615234,3.066066314259785,0.014872001361011357
2021-02-05,120.89014434814452,28.52617454528809,3.636280964373981,0.03193360162199683
2021-02-08,122.78263854980467,29.160682678222656,1.060432790778151,-0.0451392898971533
2021-02-09,122.29200744628906,29.03731155395508,1.438607607681888,-0.03382378344096045
2021-02-10,122.36214447021484,29.063743591308597,1.3226045548448724,-0.037294753041904175
2021-02-11,122.0204086303711,28.975622177124023,1.6014386158900038,-0.02895165752910648
2021-02-12,123.75516510009766,29.40743064880371,0.2953072043577833,-0.06803289128452918
2021-02-16,126.73403930664062,30.200563430786133,-2.311229768221466,-0.14602403353722324
2021-02-17,127.12833404541016,30.32392883300781,-2.7857006539966847,-0.16022084974836628
2021-02-18,127.55762481689452,30.13005828857422,-0.9911319230319862,-0.1065249050327196
2021-02-19,129.6866455078125,30.438499450683597,-1.0342200568698274,-0.10781416078120985
2021-02-22,130.90447998046875,30.9760684967041,-3.6020621158129984,-0.1846474984274107
2021-02-23,131.9558868408203,31.30213165283203,-4.846861942045194,-0.2218936074775106
2021-02-24,134.27764892578125,32.06001281738281,-7.8622615847178,-0.3121184786205006
2021-02-25,132.45526123046875,31.663442611694336,-6.891916826552773,-0.28308443963914726
2021-02-26,128.94189453125,30.58831024169922,-2.8339707584473217,-0.16166515712722412
2021-03-01,131.85948181152344,31.54006767272949,-6.618863461162334,-0.2749143104267963
2021-03-02,131.43019104003906,31.31093978881836,-5.434586525803098,-0.23947912884147984
2021-03-03,133.9710235595703,32.09524917602539,-8.417028946751799,-0.3287178749477782
2021-03-04,131.91204833984375,32.32551574707031,-12.097590752368518,-0.43884530547013906
2021-03-05,132.21871948242188,32.706336975097656,-14.472744384394304,-0.5099131425029758
2021-03-08,133.9710235595703,32.88347244262695,-13.967866265462163,-0.49480650039195084
2021-03-09,133.02471923828125,32.16611099243164,-9.862357379160189,-0.37196407347082594
2021-03-10,135.916015625,33.09602355957031,-13.519704758142808,-0.48139689667743346
2021-03-11,135.2063446044922,32.980892181396484,-13.418595917663737,-0.47837158223004045
2021-03-12,136.80970764160156,33.600826263427734,-16.180941663189145,-0.561024735535291
2021-03-15,136.12628173828125,33.43256759643555,-15.679453941765104,-0.5460195387431427
2021-03-16,134.4967041015625,33.33514404296875,-16.622954017443988,-0.5742503482009825
2021-03-17,135.88095092773438,33.60969161987305,-17.17213011877905,-0.5906824463801311
2021-03-18,138.12387084960938,34.48645782470703,-21.10358587926595,-0.7083169663205477
2021-03-19,135.9248046875,34.12335205078125,-20.74558329455124,-0.6976050405719219
2021-03-22,132.27125549316406,33.35286331176758,-18.973185517538667,-0.6445724810458001
2021-03-23,130.94834899902344,32.679771423339844,-15.556034553955811,-0.5423266622819084
2021-03-24,131.964599609375,32.679771423339844,-14.539783943604249,-0.5119190575749293
2021-03-25,133.65557861328125,33.35286331176758,-17.58886239742148,-0.6031516446945251
2021-03-26,135.88095092773438,34.25619888305664,-21.72497294308357,-0.7269097150127825
2021-03-29,133.7694549560547,33.92850875854492,-21.52880476783324,-0.7210400955819631
2021-03-30,135.3465118408203,34.53074264526367,-24.192808093588184,-0.8007507095215806
2021-03-31,133.37518310546875,34.26504898071289,-24.293065051406305,-0.8037505344775558
2021-04-01,134.67190551757812,34.97354888916016,-27.985750969081664,-0.9142407349733337
2021-04-05,135.38575744628906,35.248104095458984,-29.205375695710472,-0.9507335706975422
2021-04-06,134.43397521972656,35.15067672729492,-29.47105349731672,-0.9586830129791732
2021-04-07,136.54025268554688,35.46951675415039,-29.61011589236932,-0.9628439495584903
2021-04-08,136.7077178955078,35.159542083740234,-27.259742563258182,-0.8925175729960065
2021-04-09,137.73004150390625,35.4163703918457,-28.04605899067045,-0.9160452332559939
2021-04-12,137.43917846679688,35.478370666503906,-28.773541261092817,-0.9378124952728761
2021-04-13,135.79998779296875,34.822994232177734,-25.797430504977285,-0.8487632012165179
2021-04-14,133.26181030273438,35.318965911865234,-31.82834695038449,-1.0292164490913913
2021-04-15,134.10784912109375,34.3093376159668,-23.87228910523089,-0.7911603441139005
